CA30 Economic Profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wages and salaries (thousands of dollars) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoFips,GeoName,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
14740,"Bremerton-Silverdale, WA (Metropolitan Statistical Area)",297529,301741,301559,323777,364649,432101,496418,550245,640300,714015,809253,870967,946894,1047510,1178978,1214880,1243492,1247411,1369034,1516406,1599179,1813869,1992158,2150066,2159321,2218780,2335079,2429950,2528550,2525505,2628029,2773545,2918976,3256801,3430249,3629346,3821225,4040916,4171935,4310780,4302817,4356921,4428293,4482870,4470342,4672774,4936554
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",2365253,2512247,2573400,2780518,3083802,3361525,3509059,3849611,4316151,4916248,5591912,6425611,7209836,7807887,8304789,9315397,10183010,11117245,12192847,13557251,14075262,14597499,14652489,15490070,16062438,16465326,17896494,19276615,21564336,23449328,25168592,27596424,28286218,26962320,27659018,29410111,31127764,33290521,36063559,35749912,32768106,33941949,35522694,36225572,36289258,37393689,38547706
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",168231,183920,204507,239107,284672,326453,373681,418758,451174,533999,620245,704878,809049,860468,853997,883383,945286,959522,992640,1066690,1168774,1309744,1387489,1513140,1645995,1755029,1823045,1900329,2050340,2213592,2301725,2498267,2621811,2794531,2883159,3008204,3108181,3354061,3589847,3796313,3816041,3940607,4052583,4209726,4294898,4479773,4641981
15260,"Brunswick, GA (Metropolitan Statistical Area)",121048,135522,156103,171662,181884,187671,179751,209533,236374,264136,295850,328811,356384,365982,385614,426776,476032,509191,546590,593449,628754,657137,673830,714882,758309,800703,858136,923427,960629,1021695,1059772,1132297,1160815,1210405,1294782,1393418,1459439,1582677,1622050,1675578,1572305,1531189,1548995,1608941,1626912,1643975,1758397
15380,"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)",3695615,3857047,4084801,4320666,4762377,5056496,5149203,5553524,5996613,6488133,7075604,7363062,7887182,7913917,8116241,8807782,9407066,9861536,10430014,11211542,11836385,12530039,12792524,13218525,13554450,14105846,14675221,15138376,15639767,16370193,17093550,17826227,17881466,18168593,18602128,19429884,19569594,20426784,21181099,21778556,21371115,21828186,22626629,23200711,23638252,24537754,25552544
15500,"Burlington, NC (Metropolitan Statistical Area)",236415,245742,262532,289561,316767,328368,327526,346733,357530,388839,432943,467358,521969,538607,589172,654759,701417,777630,851246,934366,989044,1038220,1088134,1137346,1210044,1289759,1349906,1436926,1546204,1644128,1788551,1879291,1900779,1900243,1877998,1969399,2007229,2118097,2194703,2239065,2029576,2065192,2168143,2254821,2305526,2331120,2405997
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",317348,352301,369081,395544,425078,448428,484376,539630,595426,702805,806518,894024,1012822,1102847,1195403,1310060,1445207,1569013,1711632,1910005,2079789,2198384,2226915,2331441,2441535,2495524,2661113,2857001,3024537,3259754,3514981,3829103,4025311,4063377,4190360,4388988,4530938,4765776,4947271,5136942,5084689,5222281,5407667,5642986,5830944,6012513,6218790
15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",94684,106217,113747,127678,131455,147214,138852,150661,163046,176730,191312,216951,263328,282954,303968,337529,365796,406493,465269,547764,603025,656033,702719,733988,736911,763437,803392,885712,1095212,1284304,1324147,1431788,1512212,1653606,1818817,1940630,2005494,2169671,2316491,2370259,2545622,2791482,2961652,2998790,3000223,3071416,3154221
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",995427,1034911,1032833,1151189,1312717,1461688,1493322,1626053,1789657,2018009,2269936,2354758,2563083,2493207,2501820,2739678,2850903,2878108,3059136,3298600,3411106,3590128,3624053,3824589,4003890,4251927,4489711,4614571,4851334,5193432,5288160,5531225,5615344,5600816,5633978,5795072,5976185,6032675,6190518,6268526,5897025,5928800,6306420,6586442,6833510,7141607,7184888
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",170588,195163,211258,248387,312885,367813,376484,421507,495717,606736,724077,847710,982631,1044422,1159135,1324614,1480954,1667629,1915488,2159846,2386632,2591675,2670465,2822272,2998836,3239269,3426295,3672460,3867365,4224672,4571207,5049414,5668809,6005731,6692843,7587467,8614660,9443516,9466855,8881659,8187571,8135519,8481278,8866110,9350641,10133728,11112151
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",117924,129523,142402,149941,165812,193514,210089,240396,264547,305099,340314,359424,385377,396066,422548,458803,484882,525954,567853,597890,633932,676327,701118,757597,794089,853454,914352,945860,996233,1071743,1172587,1221201,1245013,1292023,1331536,1369895,1432437,1505096,1601071,1603028,1634196,1638266,1662281,1719433,1750400,1779223,1821274
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",182164,197563,219298,235469,257912,274435,315274,363755,396236,434573,476409,510840,547514,585591,621047,676567,686900,709321,739949,764321,794664,848568,901483,945889,962907,1037678,1080111,1108944,1158266,1228148,1314617,1389746,1461363,1551394,1571264,1626339,1719251,1812673,1883192,1961142,1999356,2068140,2121709,2178813,2226522,2285687,2364975
