"CA1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population (number of persons) 1/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoFips,GeoName,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",70905,70436,71899,73647,73297,74588,74605,76817,77598,78829,79941,81562,82038,81576,81546,81732,82211,82368,82524,82775,82734,83037,83892,85118,85803,86267,87084,87975,88270,88682,90016,90527,91226,91694,91840,92734,93173,94167,94616,95031,95634,96443,97062,97235,97216,97579,97534
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",102331,104404,106828,108334,106903,107320,110316,114039,115743,116505,117908,118692,120509,120316,120650,119864,119997,119619,119923,119255,118928,118770,118578,119749,120909,121436,121529,121503,121801,121676,121502,120912,121267,121086,121792,122841,123881,124594,124719,125279,125893,126821,127043,125742,127012,126651,126828
16180,"Carson City, NV (Metropolitan Statistical Area)",15528,16041,18439,19991,22158,23808,25484,26094,27331,29972,31782,32323,33475,34324,34654,35260,36389,37086,37403,38379,39657,40714,41926,43231,44572,46108,47768,49290,50463,50864,51953,52568,53472,54503,55234,55995,55982,55410,55288,55552,55401,55030,54756,54598,54057,54480,54521
16220,"Casper, WY (Metropolitan Statistical Area)",50779,51381,52121,53106,52814,53504,56088,58567,61526,65515,68354,72523,75042,77094,76292,73166,71569,69177,64552,62507,61722,61296,62312,63087,63981,65316,65687,65859,66311,66146,66282,66603,66978,67554,68246,69035,69922,70806,72365,73682,75238,75472,76420,78699,81156,81603,82178
16300,"Cedar Rapids, IA (Metropolitan Statistical Area)",203783,206165,207532,207990,206982,207881,210055,211491,210846,211033,211937,213666,212534,210374,208238,207969,206995,205865,205577,207415,209528,211200,213453,216818,219948,222711,226357,227938,230490,232402,235365,237950,240145,242099,243272,245108,247265,249524,252709,255503,256896,258409,260896,261757,262350,263974,266040
16540,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",99529,101127,103082,103103,104285,106640,108052,110183,110218,111166,112172,113810,114302,114688,115293,116482,116882,117464,117819,118953,119780,121503,123039,124095,125056,126002,126479,126897,127696,128492,128875,129745,130604,131998,133583,135742,138927,142421,144840,147032,148662,149948,151037,151618,152181,152951,153638
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",192612,195003,195599,194839,198829,199411,197848,200853,202220,203216,199739,200808,202737,203390,201935,202158,202468,204047,204329,204777,203114,203117,205133,207870,204513,202646,203128,205401,207211,207458,209300,210623,212461,214532,217483,219215,221400,224622,227498,228381,230826,232290,233313,234583,236022,237579,238984
16620,"Charleston, WV (Metropolitan Statistical Area)",263336,263984,265194,264953,262931,261523,265278,266697,269295,271875,272681,273195,273065,271826,269657,267030,262742,258796,256091,250433,246351,243124,243125,244084,244001,243093,242822,242282,241059,239229,237312,235518,233423,232093,231566,230874,229041,227750,227165,226811,227421,226895,225783,225735,224654,222824,220614
16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",333836,336669,345034,354123,362524,377614,388945,402464,407216,417483,425158,433615,445278,453298,460906,467325,469353,480947,490378,492783,502823,508851,523852,530382,531913,529376,522192,517970,528354,535674,546169,550916,556901,565179,573376,587231,598313,614463,628384,643613,655447,667496,681220,697040,711405,726969,744526
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",962941,988444,1007583,1027951,1042990,1054007,1058573,1065660,1076317,1095051,1115330,1142703,1159800,1176768,1186619,1206699,1229877,1247714,1272213,1297129,1320598,1349847,1380932,1405306,1435716,1470366,1509023,1550697,1594838,1639936,1686617,1728616,1769476,1806638,1841489,1880010,1934168,2009239,2086153,2151756,2195856,2223672,2256845,2295310,2336266,2379177,2426363
16820,"Charlottesville, VA (Metropolitan Statistical Area)*",110930,111846,113689,118870,122296,125476,130734,132458,133491,135000,136881,138046,139886,140835,142328,143655,146056,146055,148641,151301,154409,157899,160559,163154,166695,170234,173261,176481,179813,183230,187141,190613,193611,196350,198602,200985,204975,208519,211383,214672,217176,219094,221300,223085,224590,226860,229514
